Q,I,K,lambda,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
100,15,9,0.20000,0.97000,38,0.87705,0.91176,0.72093,0.80519,151.46644s,32,0.85430,0.84615,0.67347,0.75000,128.12891s,39,1.00000,1.00000,1.00000,1.00000,46.35987s
100,15,9,0.20000,0.98000,44,0.88115,0.88000,0.76744,0.81988,153.64329s,47,0.86755,0.87179,0.69388,0.77273,130.22950s,40,1.00000,1.00000,1.00000,1.00000,45.82696s
100,15,9,0.20000,0.99000,59,0.89754,0.89610,0.80233,0.84663,155.05693s,57,0.91391,0.92857,0.79592,0.85714,130.82919s,43,1.00000,1.00000,1.00000,1.00000,46.74862s
100,15,9,0.50000,0.97000,22,0.83607,0.82857,0.67442,0.74359,137.39547s,24,0.83444,0.83333,0.61224,0.70588,118.36878s,34,1.00000,1.00000,1.00000,1.00000,45.88425s
100,15,9,0.50000,0.98000,36,0.86475,0.89552,0.69767,0.78431,151.87962s,34,0.84768,0.86111,0.63265,0.72941,127.21397s,41,1.00000,1.00000,1.00000,1.00000,46.63894s
100,15,9,0.50000,0.99000,45,0.88934,0.90411,0.76744,0.83019,152.41808s,47,0.86093,0.86842,0.67347,0.75862,128.98920s,41,1.00000,1.00000,1.00000,1.00000,46.32117s
100,15,12,0.00000,0.97000,60,0.91393,0.90123,0.84884,0.87425,269.25379s,51,0.86755,0.87179,0.69388,0.77273,226.10584s,57,1.00000,1.00000,1.00000,1.00000,93.07169s
100,15,12,0.00000,0.98000,64,0.92213,0.91358,0.86047,0.88623,267.23980s,57,0.90066,0.90476,0.77551,0.83516,226.68691s,57,1.00000,1.00000,1.00000,1.00000,91.66402s
100,15,12,0.00000,0.99000,80,0.91803,0.91250,0.84884,0.87952,272.32041s,70,0.92715,0.95238,0.81633,0.87912,231.75936s,58,1.00000,1.00000,1.00000,1.00000,92.48467s
100,15,12,0.20000,0.97000,38,0.87705,0.91176,0.72093,0.80519,252.26794s,32,0.85430,0.84615,0.67347,0.75000,213.74601s,39,1.00000,1.00000,1.00000,1.00000,79.75234s
100,15,12,0.20000,0.98000,44,0.88115,0.88000,0.76744,0.81988,252.71373s,47,0.86755,0.87179,0.69388,0.77273,213.98344s,40,1.00000,1.00000,1.00000,1.00000,79.38142s
100,15,12,0.20000,0.99000,59,0.89754,0.89610,0.80233,0.84663,251.41557s,58,0.92715,0.95238,0.81633,0.87912,213.62453s,43,1.00000,1.00000,1.00000,1.00000,79.14928s
100,15,12,0.50000,0.97000,22,0.83607,0.82857,0.67442,0.74359,237.68722s,24,0.83444,0.83333,0.61224,0.70588,204.49642s,34,1.00000,1.00000,1.00000,1.00000,78.66805s
100,15,12,0.50000,0.98000,36,0.86475,0.89552,0.69767,0.78431,249.25276s,34,0.84768,0.86111,0.63265,0.72941,209.96805s,41,1.00000,1.00000,1.00000,1.00000,78.01038s
100,15,12,0.50000,0.99000,45,0.88934,0.90411,0.76744,0.83019,251.17617s,47,0.86093,0.86842,0.67347,0.75862,212.21738s,41,1.00000,1.00000,1.00000,1.00000,78.70265s
100,15,15,0.00000,0.97000,61,0.91803,0.90244,0.86047,0.88095,397.27042s,52,0.86755,0.87179,0.69388,0.77273,337.47729s,57,1.00000,1.00000,1.00000,1.00000,135.68664s
100,15,15,0.00000,0.98000,63,0.92213,0.91358,0.86047,0.88623,399.40823s,57,0.90066,0.90476,0.77551,0.83516,337.88890s,57,1.00000,1.00000,1.00000,1.00000,135.79200s
100,15,15,0.00000,0.99000,80,0.91803,0.91250,0.84884,0.87952,401.76778s,70,0.92715,0.95238,0.81633,0.87912,342.33160s,58,1.00000,1.00000,1.00000,1.00000,134.89148s
100,15,15,0.20000,0.97000,38,0.87705,0.91176,0.72093,0.80519,378.40160s,32,0.85430,0.84615,0.67347,0.75000,323.35961s,39,1.00000,1.00000,1.00000,1.00000,121.28578s
100,15,15,0.20000,0.98000,44,0.88115,0.88000,0.76744,0.81988,381.37616s,47,0.86755,0.87179,0.69388,0.77273,324.39672s,40,1.00000,1.00000,1.00000,1.00000,122.43694s
100,15,15,0.20000,0.99000,59,0.89754,0.89610,0.80233,0.84663,378.53346s,58,0.90728,0.90698,0.79592,0.84783,321.57991s,43,1.00000,1.00000,1.00000,1.00000,114.55058s
100,15,15,0.50000,0.97000,22,0.83607,0.82857,0.67442,0.74359,367.36828s,24,0.83444,0.83333,0.61224,0.70588,314.80547s,34,1.00000,1.00000,1.00000,1.00000,122.70443s
100,15,15,0.50000,0.98000,36,0.86475,0.89552,0.69767,0.78431,380.25195s,34,0.84768,0.86111,0.63265,0.72941,321.16876s,41,1.00000,1.00000,1.00000,1.00000,120.59753s
100,15,15,0.50000,0.99000,45,0.88934,0.90411,0.76744,0.83019,380.45333s,47,0.86093,0.86842,0.67347,0.75862,322.54372s,41,1.00000,1.00000,1.00000,1.00000,119.88997s
100,15,18,0.00000,0.97000,59,0.91393,0.90123,0.84884,0.87425,552.25630s,52,0.86755,0.87179,0.69388,0.77273,469.29294s,57,1.00000,1.00000,1.00000,1.00000,185.41015s
100,15,18,0.00000,0.98000,63,0.92213,0.91358,0.86047,0.88623,551.28443s,57,0.90066,0.90476,0.77551,0.83516,469.76738s,57,1.00000,1.00000,1.00000,1.00000,186.33062s
100,15,18,0.00000,0.99000,80,0.91803,0.91250,0.84884,0.87952,557.53465s,70,0.92715,0.95238,0.81633,0.87912,477.79350s,58,1.00000,1.00000,1.00000,1.00000,188.16637s
100,15,18,0.20000,0.97000,38,0.87705,0.91176,0.72093,0.80519,539.32575s,32,0.85430,0.84615,0.67347,0.75000,459.48190s,39,1.00000,1.00000,1.00000,1.00000,174.47278s
100,15,18,0.20000,0.98000,44,0.88115,0.88000,0.76744,0.81988,535.39050s,47,0.86755,0.87179,0.69388,0.77273,453.94106s,40,1.00000,1.00000,1.00000,1.00000,171.49211s
100,15,18,0.20000,0.99000,59,0.89754,0.89610,0.80233,0.84663,537.09360s,58,0.92715,0.95238,0.81633,0.87912,456.84758s,43,1.00000,1.00000,1.00000,1.00000,172.85550s
100,15,18,0.50000,0.97000,22,0.83607,0.82857,0.67442,0.74359,527.05009s,24,0.83444,0.83333,0.61224,0.70588,450.90357s,34,1.00000,1.00000,1.00000,1.00000,172.08267s
100,15,18,0.50000,0.98000,36,0.86475,0.89552,0.69767,0.78431,535.27530s,34,0.84768,0.86111,0.63265,0.72941,451.87924s,41,1.00000,1.00000,1.00000,1.00000,169.55385s
100,15,18,0.50000,0.99000,45,0.88934,0.90411,0.76744,0.83019,539.07516s,47,0.86093,0.86842,0.67347,0.75862,458.75301s,41,1.00000,1.00000,1.00000,1.00000,170.67621s
100,20,3,0.00000,0.97000,66,0.91393,0.90123,0.84884,0.87425,75.47487s,53,0.88742,0.90000,0.73469,0.80899,62.75445s,59,1.00000,1.00000,1.00000,1.00000,28.64693s
100,20,3,0.00000,0.98000,66,0.92213,0.91358,0.86047,0.88623,76.00156s,56,0.90066,0.90476,0.77551,0.83516,63.21144s,57,1.00000,1.00000,1.00000,1.00000,28.42979s
100,20,3,0.00000,0.99000,80,0.91803,0.91250,0.84884,0.87952,79.78565s,69,0.92715,0.95238,0.81633,0.87912,66.27965s,61,1.00000,1.00000,1.00000,1.00000,29.44235s
100,20,3,0.20000,0.97000,38,0.87705,0.91176,0.72093,0.80519,58.69742s,31,0.85430,0.84615,0.67347,0.75000,47.64035s,39,1.00000,1.00000,1.00000,1.00000,13.57103s
100,20,3,0.20000,0.98000,44,0.88115,0.88000,0.76744,0.81988,59.03410s,47,0.86755,0.87179,0.69388,0.77273,47.51739s,40,1.00000,1.00000,1.00000,1.00000,13.46578s
100,20,3,0.20000,0.99000,59,0.89754,0.89610,0.80233,0.84663,59.58361s,57,0.91391,0.92857,0.79592,0.85714,48.38287s,43,1.00000,1.00000,1.00000,1.00000,13.78144s
100,20,3,0.50000,0.97000,22,0.83607,0.82857,0.67442,0.74359,38.45423s,24,0.83444,0.83333,0.61224,0.70588,34.24364s,34,1.00000,1.00000,1.00000,1.00000,13.40497s
100,20,3,0.50000,0.98000,36,0.86475,0.89552,0.69767,0.78431,57.49585s,33,0.84768,0.86111,0.63265,0.72941,45.83332s,41,1.00000,1.00000,1.00000,1.00000,13.47129s
100,20,3,0.50000,0.99000,45,0.88934,0.90411,0.76744,0.83019,59.05069s,47,0.86093,0.86842,0.67347,0.75862,48.07818s,41,1.00000,1.00000,1.00000,1.00000,13.74410s
100,20,6,0.00000,0.97000,59,0.91393,0.90123,0.84884,0.87425,127.84504s,53,0.88742,0.90000,0.73469,0.80899,109.34227s,57,1.00000,1.00000,1.00000,1.00000,45.51402s
100,20,6,0.00000,0.98000,62,0.92213,0.91358,0.86047,0.88623,129.46121s,58,0.89404,0.90244,0.75510,0.82222,112.34378s,56,1.00000,1.00000,1.00000,1.00000,45.61997s
100,20,6,0.00000,0.99000,80,0.91803,0.91250,0.84884,0.87952,134.42369s,70,0.92715,0.95238,0.81633,0.87912,113.17804s,58,1.00000,1.00000,1.00000,1.00000,45.96266s
100,20,6,0.20000,0.97000,38,0.87705,0.91176,0.72093,0.80519,114.58401s,32,0.85430,0.84615,0.67347,0.75000,93.68865s,39,1.00000,1.00000,1.00000,1.00000,31.02230s
100,20,6,0.20000,0.98000,44,0.88115,0.88000,0.76744,0.81988,114.72873s,47,0.86755,0.87179,0.69388,0.77273,93.59626s,40,1.00000,1.00000,1.00000,1.00000,31.34418s
100,20,6,0.20000,0.99000,59,0.89754,0.89610,0.80233,0.84663,114.80904s,58,0.92715,0.95238,0.81633,0.87912,94.42169s,43,1.00000,1.00000,1.00000,1.00000,31.67882s
100,20,6,0.50000,0.97000,22,0.83607,0.82857,0.67442,0.74359,104.45077s,24,0.83444,0.83333,0.61224,0.70588,89.34273s,34,1.00000,1.00000,1.00000,1.00000,31.71819s
100,20,6,0.50000,0.98000,36,0.86475,0.89552,0.69767,0.78431,129.48956s,34,0.84768,0.86111,0.63265,0.72941,108.49560s,41,1.00000,1.00000,1.00000,1.00000,31.82040s
100,20,6,0.50000,0.99000,45,0.88934,0.90411,0.76744,0.83019,128.46161s,47,0.86093,0.86842,0.67347,0.75862,110.89678s,41,1.00000,1.00000,1.00000,1.00000,30.74801s
100,20,9,0.00000,0.97000,60,0.91393,0.90123,0.84884,0.87425,254.19118s,53,0.88742,0.90000,0.73469,0.80899,191.98778s,57,1.00000,1.00000,1.00000,1.00000,76.77957s
100,20,9,0.00000,0.98000,64,0.92213,0.91358,0.86047,0.88623,249.57759s,58,0.89404,0.90244,0.75510,0.82222,191.36070s,58,1.00000,1.00000,1.00000,1.00000,76.75003s
100,20,9,0.00000,0.99000,80,0.91803,0.91250,0.84884,0.87952,250.82107s,70,0.92715,0.95238,0.81633,0.87912,196.78639s,58,1.00000,1.00000,1.00000,1.00000,76.79089s
100,20,9,0.20000,0.97000,38,0.87705,0.91176,0.72093,0.80519,207.75348s,32,0.85430,0.84615,0.67347,0.75000,173.67664s,39,1.00000,1.00000,1.00000,1.00000,62.29118s
100,20,9,0.20000,0.98000,44,0.88115,0.88000,0.76744,0.81988,208.81576s,47,0.86755,0.87179,0.69388,0.77273,173.84311s,40,1.00000,1.00000,1.00000,1.00000,62.06026s
100,20,9,0.20000,0.99000,59,0.89754,0.89610,0.80233,0.84663,210.20900s,57,0.91391,0.92857,0.79592,0.85714,175.95884s,43,1.00000,1.00000,1.00000,1.00000,63.16450s
100,20,9,0.50000,0.97000,22,0.83607,0.82857,0.67442,0.74359,185.24542s,24,0.83444,0.83333,0.61224,0.70588,160.63019s,34,1.00000,1.00000,1.00000,1.00000,61.94856s
100,20,9,0.50000,0.98000,36,0.86475,0.89552,0.69767,0.78431,204.10394s,34,0.84768,0.86111,0.63265,0.72941,171.29884s,41,1.00000,1.00000,1.00000,1.00000,62.29253s
