Q,I,K,lambda,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
150,15,6,0.00000,0.92500,24,0.84836,0.87692,0.66279,0.75497,54.75995s,23,0.82781,0.82857,0.59184,0.69048,48.88786s,45,1.00000,1.00000,1.00000,1.00000,25.30134s
150,15,6,0.00000,0.97500,56,0.89754,0.89610,0.80233,0.84663,97.15328s,56,0.89404,0.88372,0.77551,0.82609,84.57636s,43,1.00000,1.00000,1.00000,1.00000,25.21177s
150,15,6,0.20000,0.87500,6,0.79508,0.83333,0.52326,0.64286,50.57435s,2,0.67550,-nan,0.00000,-nan,43.09591s,17,0.94737,0.85714,1.00000,0.92308,20.89787s
150,15,6,0.20000,0.92500,14,0.81967,0.77632,0.68605,0.72840,52.25969s,7,0.75497,0.65000,0.53061,0.58427,44.88323s,32,1.00000,1.00000,1.00000,1.00000,24.67919s
150,15,6,0.20000,0.97500,35,0.89344,0.94118,0.74419,0.83117,83.06953s,34,0.84768,0.86111,0.63265,0.72941,70.22328s,40,1.00000,1.00000,1.00000,1.00000,24.85024s
150,15,6,0.50000,0.87500,2,0.64754,-nan,0.00000,-nan,49.62913s,2,0.67550,-nan,0.00000,-nan,42.74708s,13,0.84211,0.80000,0.66667,0.72727,21.47133s
150,15,6,0.50000,0.92500,8,0.81557,0.84746,0.58140,0.68966,51.06665s,2,0.67550,-nan,0.00000,-nan,43.95864s,17,1.00000,1.00000,1.00000,1.00000,23.21999s
150,15,6,0.50000,0.97500,23,0.85656,0.89231,0.67442,0.76821,65.33759s,18,0.83444,0.81579,0.63265,0.71264,48.75219s,29,1.00000,1.00000,1.00000,1.00000,25.05354s
150,15,9,0.00000,0.87500,10,0.79918,0.81356,0.55814,0.66207,119.60525s,8,0.74834,0.65714,0.46939,0.54762,104.53541s,32,1.00000,1.00000,1.00000,1.00000,47.12964s
150,15,9,0.00000,0.92500,24,0.84836,0.87692,0.66279,0.75497,122.94876s,23,0.82781,0.82857,0.59184,0.69048,107.07983s,44,1.00000,1.00000,1.00000,1.00000,51.10309s
