Q,I,K,lambda,C,#1num_cols,#1r2-score,#1time,#2num_cols,#2r2-score,#2time,#3num_cols,#3r2-score,#3time
100,20,9,0.20000,0.99950,23,0.99995,7.83149s,53,0.98480,89.44779s,6,0.65688,8.75618s
100,20,9,0.20000,0.99970,36,1.00000,8.28791s,63,0.98909,89.77705s,23,1.00000,9.14012s
100,20,9,0.50000,0.99930,18,0.99903,7.70674s,53,0.97915,89.25945s,19,0.99930,8.94796s
100,20,9,0.50000,0.99950,20,0.99946,8.01262s,57,0.98605,89.39150s,30,1.00000,9.13737s
100,20,9,0.50000,0.99970,36,0.99996,8.30230s,54,0.98836,89.62555s,56,1.00000,9.67500s
100,20,12,0.00000,0.99930,24,1.00000,15.14392s,70,0.99166,174.80944s,4,0.83964,16.54842s
100,20,12,0.00000,0.99950,29,1.00000,14.74694s,69,0.98987,175.86580s,5,0.96228,16.41920s
100,20,12,0.00000,0.99970,38,1.00000,14.60471s,73,0.99189,177.07499s,16,1.00000,15.87321s
100,20,12,0.20000,0.99930,14,0.98105,12.88410s,66,0.99042,159.21887s,7,0.85581,15.48234s
100,20,12,0.20000,0.99950,23,0.99990,13.32687s,58,0.98682,158.54116s,6,0.65688,15.47756s
100,20,12,0.20000,0.99970,39,0.99999,13.85395s,64,0.98987,155.39881s,23,1.00000,15.80916s
100,20,12,0.50000,0.99930,19,0.98267,13.12484s,49,0.97599,158.69545s,22,0.99984,15.41491s
100,20,12,0.50000,0.99950,21,0.99987,13.55366s,61,0.98783,158.40758s,27,1.00000,15.56870s
100,20,12,0.50000,0.99970,33,0.99996,13.90135s,52,0.98385,156.35211s,36,1.00000,16.18279s
100,20,15,0.00000,0.99930,24,1.00000,20.47514s,69,0.99136,262.46508s,4,0.83964,25.71164s
100,20,15,0.00000,0.99950,33,1.00000,21.14553s,75,0.99191,267.60681s,5,0.96228,25.24539s
100,20,15,0.00000,0.99970,40,1.00000,21.21923s,77,0.99191,265.42250s,16,1.00000,25.56643s
100,20,15,0.20000,0.99930,17,0.98526,19.97296s,59,0.98660,246.05548s,7,0.85581,24.35319s
100,20,15,0.20000,0.99950,24,0.99990,20.34992s,67,0.99057,243.10358s,9,0.91076,24.14646s
100,20,15,0.20000,0.99970,33,0.99999,20.99873s,58,0.98596,244.52920s,23,1.00000,24.32443s
100,20,15,0.50000,0.99930,20,0.98595,20.56292s,47,0.97957,246.38821s,22,0.99952,24.17961s
100,20,15,0.50000,0.99950,23,0.99995,21.01696s,50,0.98790,244.38452s,31,1.00000,24.69264s
100,20,15,0.50000,0.99970,38,0.99992,21.25319s,56,0.98796,234.16878s,38,1.00000,25.13249s
100,20,18,0.00000,0.99930,25,1.00000,29.16956s,72,0.99165,372.27285s,4,0.83964,37.05999s
100,20,18,0.00000,0.99950,34,1.00000,29.78458s,72,0.99080,373.33161s,5,0.96228,36.12523s
100,20,18,0.00000,0.99970,36,1.00000,29.68412s,76,0.99226,378.73362s,16,1.00000,36.87092s
100,20,18,0.20000,0.99930,16,0.98526,28.54841s,62,0.99034,353.15275s,8,0.57683,34.26827s
100,20,18,0.20000,0.99950,25,0.99995,29.48179s,58,0.98983,354.73094s,8,0.94680,34.28505s
100,20,18,0.20000,0.99970,39,0.99999,29.69948s,57,0.98678,360.70400s,23,1.00000,34.77132s
100,20,18,0.50000,0.99930,20,0.98389,29.27723s,43,0.97682,357.72643s,21,0.99959,35.80595s
100,20,18,0.50000,0.99950,22,0.99938,29.44880s,45,0.97913,357.89032s,27,1.00000,35.59939s
100,20,18,0.50000,0.99970,41,0.99996,30.25574s,60,0.98720,358.16337s,35,1.00000,37.43668s
150,10,3,0.00000,0.99930,23,1.00000,1.42130s,73,0.99155,29.22235s,4,0.83964,1.19666s
150,10,3,0.00000,0.99950,27,1.00000,1.91612s,77,0.99189,29.92520s,6,0.96524,1.20508s
150,10,3,0.00000,0.99970,38,1.00000,2.24313s,72,0.99191,30.29395s,15,1.00000,1.27101s
150,10,3,0.20000,0.99930,13,0.97588,1.02923s,76,0.99061,12.30177s,5,0.57104,1.09933s
150,10,3,0.20000,0.99950,21,0.99263,1.31043s,67,0.99065,12.42985s,8,0.56274,1.15470s
150,10,3,0.20000,0.99970,33,0.99999,2.14519s,70,0.99022,12.27054s,24,1.00000,1.23678s
